Tweet_id,Aerolinea,Nombre_usuario,Sentimiento_aerolinea,Grado_de_confianza,Clasificacion_grado_de_confianza,Razon_negativa,Confianza_razon_negativa,Clasificacion_razon_negativa,Retweets,Comentario_limpio,Fecha_creación_tweet,Región_tweet,Zona horaria
570306133677760513,Virgin America,cairdin,neutral,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA WHAT DHEPBURN SAID,2015-02-24 11:35:52 -0800,None,Eastern Time (US & Canada)
570301130888122368,Virgin America,jnardino,positive,0.3486,Baja,None,0.0,Muy baja,0,VIRGINAMERICA PLUS YOUVE ADDED COMMERCIALS TO THE EXPERIENCE TACKY,2015-02-24 11:15:59 -0800,None,Pacific Time (US & Canada)
570301083672813571,Virgin America,yvonnalynn,neutral,0.6837,Alta,None,None,Muy alta,0,VIRGINAMERICA I DIDNT TODAY MUST MEAN I NEED TO TAKE ANOTHER TRIP,2015-02-24 11:15:48 -0800,Lets Play,Central Time (US & Canada)
570301031407624196,Virgin America,jnardino,negative,1.0,Muy alta,Bad Flight,0.7033,Alta,0,VIRGINAMERICA ITS REALLY AGGRESSIVE TO BLAST OBNOXIOUS ENTERTAINMENT IN YOUR GUESTS FACES AMP THEY HAVE LITTLE RECOURSE,2015-02-24 11:15:36 -0800,None,Pacific Time (US & Canada)
570300817074462722,Virgin America,jnardino,negative,1.0,Muy alta,Can't Tell,1.0,Muy alta,0,VIRGINAMERICA AND ITS A REALLY BIG BAD THING ABOUT IT,2015-02-24 11:14:45 -0800,None,Pacific Time (US & Canada)
570300767074181121,Virgin America,jnardino,negative,1.0,Muy alta,Can't Tell,0.6842,Alta,0,"VIRGINAMERICA SERIOUSLY WOULD PAY  A FLIGHT FOR SEATS THAT DIDNT HAVE THIS PLAYING
ITS REALLY THE ONLY BAD THING ABOUT FLYING VA",2015-02-24 11:14:33 -0800,None,Pacific Time (US & Canada)
570300616901320704,Virgin America,cjmcginnis,positive,0.6745,Alta,None,0.0,Muy baja,0,VIRGINAMERICA YES NEARLY EVERY TIME I FLY VX THIS “EAR WORM” WON’T GO AWAY ,2015-02-24 11:13:57 -0800,San Francisco CA,Pacific Time (US & Canada)
570300248553349120,Virgin America,pilot,neutral,0.634,Alta,None,None,Muy alta,0,VIRGINAMERICA REALLY MISSED A PRIME OPPORTUNITY FOR MEN WITHOUT HATS PARODY THERE ,2015-02-24 11:12:29 -0800,Los Angeles,Pacific Time (US & Canada)
570299953286942721,Virgin America,dhepburn,positive,0.6559,Alta,None,None,Muy alta,0,VIRGINAMERICA WELL I DIDNT…BUT NOW I DO D,2015-02-24 11:11:19 -0800,San Diego,Pacific Time (US & Canada)
570295459631263746,Virgin America,YupitsTate,positive,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA IT WAS AMAZING AND ARRIVED AN HOUR EARLY YOURE TOO GOOD TO ME,2015-02-24 10:53:27 -0800,Los Angeles,Eastern Time (US & Canada)
570294189143031808,Virgin America,idk_but_youtube,neutral,0.6769,Alta,None,0.0,Muy baja,0,VIRGINAMERICA DID YOU KNOW THAT SUICIDE IS THE SECOND LEADING CAUSE OF DEATH AMONG TEENS ,2015-02-24 10:48:24 -0800,1/1 loner squad,Eastern Time (US & Canada)
570289724453216256,Virgin America,HyperCamiLax,positive,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA I  PRETTY GRAPHICS SO MUCH BETTER THAN MINIMAL ICONOGRAPHY D,2015-02-24 10:30:40 -0800,NYC,America/New_York
570289584061480960,Virgin America,HyperCamiLax,positive,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA THIS IS SUCH A GREAT DEAL ALREADY THINKING ABOUT MY  TRIP TO AUSTRALIA AMP I HAVENT EVEN GONE ON MY  TRIP YET P,2015-02-24 10:30:06 -0800,NYC,America/New_York
570287408438120448,Virgin America,mollanderson,positive,0.6451,Alta,None,None,Muy alta,0,VIRGINAMERICA VIRGINMEDIA IM FLYING YOUR FABULOUS SEDUCTIVE SKIES AGAIN U TAKE ALL THE STRESS AWAY FROM TRAVEL HTTPTCOAHLXHHKIYN,2015-02-24 10:21:28 -0800,None,Eastern Time (US & Canada)
570285904809598977,Virgin America,sjespers,positive,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA THANKS,2015-02-24 10:15:29 -0800,"San Francisco, CA",Pacific Time (US & Canada)
570282469121007616,Virgin America,smartwatermelon,negative,0.6842,Alta,Late Flight,0.3684,Baja,0,VIRGINAMERICA SFOPDX SCHEDULE IS STILL MIA,2015-02-24 10:01:50 -0800,"palo alto, ca",Pacific Time (US & Canada)
570277724385734656,Virgin America,ItzBrianHunty,positive,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA SO EXCITED FOR MY FIRST CROSS COUNTRY FLIGHT LAX TO MCO IVE HEARD NOTHING BUT GREAT THINGS ABOUT VIRGIN AMERICA ,2015-02-24 09:42:59 -0800,west covina,Pacific Time (US & Canada)
570276917301137409,Virgin America,heatherovieda,negative,1.0,Muy alta,Bad Flight,1.0,Muy alta,0,VIRGINAMERICA  I FLEW FROM NYC TO SFO LAST WEEK AND COULDNT FULLY SIT IN MY SEAT DUE TO TWO LARGE GENTLEMAN ON EITHER SIDE OF ME HELP,2015-02-24 09:39:46 -0800,this place called NYC,Eastern Time (US & Canada)
570270684619923457,Virgin America,thebrandiray,positive,1.0,Muy alta,None,None,Muy alta,0,I ❤️ FLYING VIRGINAMERICA ☺️👍,2015-02-24 09:15:00 -0800,Somewhere celebrating life. ,Atlantic Time (Canada)
570267956648792064,Virgin America,JNLpierce,positive,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA YOU KNOW WHAT WOULD BE AMAZINGLY AWESOME BOSFLL PLEASE I WANT TO FLY WITH ONLY YOU,2015-02-24 09:04:10 -0800,Boston | Waltham,Quito
570265883513384960,Virgin America,MISSGJ,negative,0.6705,Alta,Can't Tell,0.3614,Baja,0,VIRGINAMERICA WHY ARE YOUR FIRST FARES IN MAY OVER THREE TIMES MORE THAN OTHER CARRIERS WHEN ALL SEATS ARE AVAILABLE TO SELECT,2015-02-24 08:55:56 -0800,None,None
570264145116819457,Virgin America,DT_Les,positive,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA I LOVE THIS GRAPHIC ,2015-02-24 08:49:01 -0800,None,None
570259420287868928,Virgin America,ElvinaBeck,positive,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA I LOVE THE HIPSTER INNOVATION YOU ARE A FEEL GOOD BRAND,2015-02-24 08:30:15 -0800,Los Angeles,Pacific Time (US & Canada)
570258822297579520,Virgin America,rjlynch21086,neutral,1.0,Muy alta,None,None,Muy alta,0,VIRGINAMERICA WILL YOU BE MAKING BOSGTLAS NON STOP PERMANENTLY ANYTIME SOON,2015-02-24 08:27:52 -0800,"Boston, MA ",Eastern Time (US & Canada)
570256553502068736,Virgin America,ayeevickiee,negative,1.0,Muy alta,Customer Service Issue,0.3557,Baja,0,VIRGINAMERICA YOU GUYS MESSED UP MY SEATING I RESERVED SEATING WITH MY FRIENDS AND YOU GUYS GAVE MY SEAT AWAY  😡 I WANT FREE INTERNET,2015-02-24 08:18:51 -0800,714,Mountain Time (US & Canada)
570249102404923392,Virgin America,Leora13,negative,1.0,Muy alta,Customer Service Issue,1.0,Muy alta,0,VIRGINAMERICA STATUS MATCH PROGRAM  I APPLIED AND ITS BEEN THREE WEEKS  CALLED AND EMAILED WITH NO RESPONSE,2015-02-24 07:49:15 -0800,None,None
