,Year,Type,Area,Gender,Species
0,2018,Boating,California,Female,White shark
1,2018,Unprovoked,Georgia,Female,Unidentified Species
2,2018,Arbitrary incident,Hawaii,Male,Unidentified Species
3,2018,Unprovoked,New South Wales,Male,2 m shark
4,2018,Provoked,Colima,Male,"Tiger shark, 3m"
5,2018,Unprovoked,New South Wales,Male,Unidentified Species
6,2018,Unprovoked,Pernambuco,Male,Tiger shark
7,2018,Unprovoked,Florida,Male,"Lemon shark, 3'"
8,2018,Unprovoked,Florida,Male,"Bull shark, 6'"
9,2018,Unprovoked,Florida,Male,Unidentified Species
10,2018,Provoked,Queensland,Male,Grey reef shark
11,2018,Unprovoked,South Carolina,Male,Unidentified Species
12,2018,Unprovoked,South Carolina,Male,Unidentified Species
14,2018,Provoked,Westerm Australia,Female,"Tawny nurse shark, 2m"
15,2018,Unprovoked,Eastern Cape Province,Male,Unidentified Species
16,2018,Questionable,New South Wales,Male,Shark involvement not confirmed
17,2018,Unprovoked,Hua Hin,Male,Unidentified Species
18,2018,Unprovoked,Cocos Island,Male,Tiger shark
19,2018,Unprovoked,Western Australia,Male,Unidentified Species
20,2018,Questionable,New South Wales,Male,Questionable
21,2018,Unprovoked,Western Australia,Male,3 m shark
22,2018,Unprovoked,Western Australia,Male,"White shark, 3.5 m"
23,2018,Unprovoked,Alifu Alifu Atoll,Male,Tiger shark
24,2018,Unprovoked,Western Cape Province,Male,"White shark, 2.5 m"
25,2018,Unprovoked,Hawaii,Male,6' shark
26,2018,Unprovoked,Hua Hin,Male,Juvenile bull shark
27,2018,Unprovoked,Pernambuco,Male,Unidentified Species
28,2018,Unprovoked,Western Australia,Male,Unidentified Species
29,2018,Unprovoked,Western Australia,Male,Unidentified Species
30,2018,Unprovoked,New Providence,Male,Tiger shark
31,2018,Arbitrary incident,Alagoas,Male,Shark involvement not confirmed
32,2018,Unprovoked,Non-Registered Area,Unrecorded Gender,2 m shark
33,2018,Unprovoked,Non-Registered Area,Male,Bull shark
34,2018,Unprovoked,Eastern Cape Province,Male,White shark
35,2018,Unprovoked,Hawaii,Male,"Tiger shark, 12'"
36,2018,Unprovoked,Western Australia,Male,Wobbegong shark
37,2018,Unprovoked,Victoria,Male,3.5 m shark
38,2018,Unprovoked,Victoria,Male,1.8 m shark
39,2018,Unprovoked,KwaZulu-Natal,Male,Blacktip shark
40,2018,Unprovoked,New South Wales,Female,"Juvenile white shark,  2.7 to 3.2 m"
41,2018,Provoked,Victoria,Male,Unidentified Species
42,2018,Unprovoked,New South Wales,Male,"Bull shark, 2 m"
43,2018,Arbitrary incident,Queensland,Female,Possibly a wobbegong
44,2018,Arbitrary incident,"Boi Island, Victoria",Female,"Injury believed caused by an eel, not a shark"
45,2018,Unprovoked,Galapagos Islands,Male,Galapagos shark?
46,2018,Arbitrary incident,Western Australia,Male,2m shark
47,2018,Unprovoked,Western Australia,Male,Bull shark
48,2018,Unprovoked,Non-Registered Area,Male,"Bull shark, 3 m "
49,2018,Unprovoked,Queensland,Male,Grey reef shark. 2 m
50,2018,Unprovoked,New South Wales,Male,"White shark, 3.5 m"
51,2018,Unprovoked,Fernando de Noronha,Male,small shark
52,2018,Unprovoked,Western Australia,Male,Wobbegong shark?
53,2017,Unprovoked,Hawaii,Female,Tiger shark
54,2017,Unprovoked,California,Female,Unidentified Species
55,2017,Provoked,Sepang,Male,Juvenile nurse shark
56,2017,Unprovoked,Non-Registered Area,Female,Nurse shark. 5'
57,2017,Unprovoked,Cocos Island,Male,"Tiger shark, female"
58,2017,Unprovoked,Cocos Island,Female,"Tiger shark, female"
59,2017,Sea Disaster,Non-Registered Area,Unrecorded Gender,Some drowned but other may have been killed by blue sharks
60,2017,Unprovoked,California,Male,"White shark, 4.6 m"
61,2017,Unprovoked,Florida,Female,Unidentified Species
62,2017,Unprovoked,Non-Registered Area,Male,Unidentified Species
63,2017,Unprovoked,New South Wales,Male,2 m shark
64,2017,Unprovoked,Holquin Province,Male,Tiger shark
65,2017,Unprovoked,Queensland,Male,Cookiecutter shark
66,2017,Unprovoked,New South Wales,Male,"Wobbegong shark, 1 m"
67,2017,Unprovoked,Hawaii,Male,Unidentified Species
68,2017,Unprovoked,Pamplemousses ,Male,Unidentified Species
69,2017,Unprovoked,Florida,Male,Unidentified Species
70,2017,Unprovoked,Florida,Female,Unidentified Species
71,2017,Unprovoked,South Australia,Female,"White shark, 4.5 m"
72,2017,Unprovoked,North Island,Male,2 m shark
73,2017,Unprovoked,Florida,Male,"Spinner shark, 4 to 5 feet"
74,2017,Unprovoked,Hawaii,Male,"Tiger shark, 8 to 10 feet"
75,2017,Unprovoked,Hawaii,Female,8' shark
76,2017,Arbitrary incident,Western Cape Province,Male,Death may have been due to drowning
77,2017,Unprovoked,Florida,Male,5' shark
78,2017,Unprovoked,Western Australia,Male,"White shark, 3.5 m"
79,2017,Arbitrary incident,New York,Male,Questionable
80,2017,Unprovoked,Florida,Male,4' to 5' shark
81,2017,Unprovoked,Florida,Male,Unidentified Species
82,2017,Unprovoked,Canary Islands,Male,"Porbeagle, 1.5 m"
83,2017,Unprovoked,Florida,Male,Unidentified Species
84,2017,Arbitrary incident,Western Cape Province,Male,Unidentified Species
85,2017,Arbitrary incident, Upolu Island,Male,Unidentified Species
86,2017,Boating,Westerm Australia,Unrecorded Gender,"White shark, 3.5m"
87,2017,Unprovoked,Florida,Male,5' to 6' shark
88,2017,Unprovoked,Westerm Australia,Male,Unidentified Species
89,2017,Unprovoked,New South Wales,Male,"White shark, 3 to 3.5m "
90,2017,Unprovoked,Non-Registered Area,Male,Unidentified Species
91,2017,Unprovoked,Western Cape Province,Male,Unidentified Species
92,2017,Unprovoked,Shizuoka Prefecture,Male,Unidentified Species
93,2017,Unprovoked,Florida,Male,Nurse shark
94,2017,Unprovoked,Texas,Female,Unidentified Species
95,2017,Unprovoked,Florida,Male,Unidentified Species
96,2017,Unprovoked,Victoria,Male,"White shark, 3 m"
97,2017,Unprovoked,Florida,Female,Unidentified Species
98,2017,Arbitrary incident,Castell�n,Female,Shark involvement questionable
99,2017,Unprovoked,North Island,Male,Unidentified Species
100,2017,Unprovoked,Massachusetts,Male,"White shark, 5' to 7'"
101,2017,Unprovoked,Non-Registered Area,Male,5' shark
102,2017,Unprovoked,South Carolina,Male,Possibly a juvenile blacktip shark
103,2017,Unprovoked,Red Sea Protectorate,Female,"Oceanic whitetip shark, 1.8 to 2 m"
104,2017,Provoked,Massachusetts,Male,4' shark
105,2017,Boating,California,Male,"White shark, 10'"
106,2017,Unprovoked,Florida,Male,Unidentified Species
107,2017,Arbitrary incident,South Carolina,Male,A small shark
108,2017,Unprovoked,South Carolina,Female,Unidentified Species
109,2017,Unprovoked,New Providence District,Female,Unidentified Species
110,2017,Unprovoked,40 miles off Grand Bahama Island,Male,Unidentified Species
111,2017,Unprovoked,Ascension Island,Male,Unidentified Species
112,2017,Unprovoked,New Jersey,Female,Sandtiger shark  2'
113,2017,Unprovoked,Majorca,Female,Blue shark 6'
114,2017,Unprovoked,Florida,Female,"""A small shark"""
115,2017,Arbitrary incident,South Carolina,Female,Shark involvement not confirmed
116,2017,Boating,California,Male,"White shark, 11' to 13'"
