",date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,hospitalizedDischarged,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade"
"0,20210307,AK,56886,,,,totalTestsViral,1731628,33.0,1293.0,,,2.0,,,3/5/2021 03:59,2021-03-05T03:59:00Z,03/04 22:59,305,1293.0,,2021-03-05T03:59:00Z,1731628.0,68693.0,1660758.0,,,,,,,,,,,,,,,,02,0,0,56886,0,56886,,0,0,dc4bccd4bb885349d7e94d6fed058e285d4be164,0,0,0,0,0,"
"1,20210307,AL,499819,107742.0,1931711.0,,totalTestsPeopleViral,2323788,494.0,45976.0,,2676.0,,1515.0,295690.0,3/7/2021 11:00,2021-03-07T11:00:00Z,03/07 06:00,10148,45976.0,,2021-03-07T11:00:00Z,,,,392077.0,7963.0,2185.0,,2323788.0,,,,119757.0,,,,,,,01,408,2087,2431530,2347,2431530,,-1,0,997207b430824ea40b8eb8506c19a93e07bc972e,0,0,0,0,0,"
"2,20210307,AR,324818,69092.0,2480716.0,,totalTestsViral,2736442,335.0,14926.0,141.0,,65.0,1533.0,315517.0,3/7/2021 00:00,2021-03-07T00:00:00Z,03/06 19:00,5319,14926.0,,2021-03-07T00:00:00Z,2736442.0,,2480716.0,255726.0,4308.0,1011.0,,,,,,,,,481311.0,81803.0,,,05,165,3267,2805534,3380,2805534,,22,11,50921aeefba3e30d31623aa495b47fb2ecc72fae,0,0,0,0,0,"
"3,20210307,AS,0,,2140.0,,totalTestsViral,2140,,,,,,,,12/1/2020 00:00,2020-12-01T00:00:00Z,11/30 19:00,0,,,2020-12-01T00:00:00Z,2140.0,,,0.0,,,,,,,,,,,,,,,60,0,0,2140,0,2140,,0,0,f77912d0b80d579fbb6202fa1a90554fc4dc1443,0,0,0,0,0,"
"4,20210307,AZ,826454,56519.0,3073010.0,,totalTestsViral,7908105,963.0,57907.0,273.0,,143.0,,,3/7/2021 00:00,2021-03-07T00:00:00Z,03/06 19:00,16328,57907.0,118932.0,2021-03-07T00:00:00Z,7908105.0,,,769935.0,14403.0,1925.0,,3842945.0,580569.0,,,444089.0,,,,,,,04,1335,13678,3899464,45110,3899464,,5,44,0437a7a96f4471666f775e63e86923eb5cbd8cdf,0,0,0,0,0,"
"5,20210307,CA,3501394,,,,totalTestsViral,49646014,4291.0,,1159.0,,,,,3/7/2021 02:59,2021-03-07T02:59:00Z,03/06 21:59,54124,,,2021-03-07T02:59:00Z,49646014.0,,,3501394.0,,,,,,,,,,,,,,,06,3816,0,3501394,133186,3501394,,258,0,63c5c0fd2daef2fb65150e9db486de98ed3f7b72,0,0,0,0,0,"
"6,20210307,CO,436602,24786.0,2199458.0,,totalTestEncountersViral,6415123,326.0,23904.0,,,,,,3/7/2021 01:59,2021-03-07T01:59:00Z,03/06 20:59,5989,23904.0,23003.0,2021-03-07T01:59:00Z,,,,410976.0,5251.0,735.0,6415123.0,2616541.0,435053.0,63087.0,369995.0,,,,,,,,08,840,0,2636060,38163,2636060,,3,18,444746cda3a596f183f3fa3269c8cab68704e819,0,0,0,0,0,"
"7,20210307,CT,285330,19621.0,,,totalTestsViral,6520366,428.0,,,,,,,3/4/2021 23:59,2021-03-04T23:59:00Z,03/04 18:59,7704,,,2021-03-04T23:59:00Z,6520366.0,323284.0,6188566.0,265709.0,6327.0,1377.0,,,,,,,,,,,396680.0,22245.0,09,0,0,285330,0,285330,,0,0,38f39494134d22cd0d06e4ce63aa4a4ac10aa930,0,0,0,0,0,"
"8,20210307,DC,41419,,,,totalTestEncountersViral,1261363,150.0,,38.0,,16.0,,29570.0,3/6/2021 00:00,2021-03-06T00:00:00Z,03/05 19:00,1030,,,2021-03-06T00:00:00Z,,,,,,,1261363.0,441942.0,,,,,,,,,,,11,146,0,41419,5726,41419,,0,0,a3aa0d623d538807fb9577ad64354f48cf728cc8,0,0,0,0,0,"
"9,20210307,DE,88354,4733.0,545070.0,,totalTestEncountersViral,1431942,104.0,,13.0,,,,,3/6/2021 18:00,2021-03-06T18:00:00Z,03/06 13:00,1473,,,2021-03-06T18:00:00Z,,91873.0,,83621.0,1337.0,136.0,1431942.0,633424.0,,,,,,,,,,,10,215,917,633424,5867,633424,,9,0,059d870e689d5cc19c35f5eb398214d7d9856373,0,0,0,0,0,"
"10,20210307,FL,1909209,360372.0,9339038.0,8544.0,totalTestEncountersViral,22339182,3307.0,82237.0,,,,,,3/6/2021 23:59,2021-03-06T23:59:00Z,03/06 18:59,32266,82237.0,,2021-03-06T23:59:00Z,19482607.0,2502506.0,16887410.0,1548837.0,,,22339182.0,11248247.0,1054711.0,190026.0,864153.0,995580.0,178979.0,816231.0,,,,,12,4024,19166,11256791,64599,11248247,,66,92,e69aca367d15584f4db13bd791804be1b017efc7,0,0,0,0,0,"
"11,20210307,GA,1023487,195151.0,,,totalTestsViral,7359069,2008.0,56797.0,,9263.0,,,,3/7/2021 14:50,2021-03-07T14:50:00Z,03/07 09:50,17906,56797.0,,2021-03-07T14:50:00Z,7359069.0,803515.0,,828336.0,15598.0,2308.0,,,482568.0,78312.0,,,,,,,1484921.0,168867.0,13,1709,0,1023487,18827,1023487,,1,35,d64d091b3e0b4c47cb7a80c60b7fc6dd1d15d6dd,0,0,0,0,0,"
"12,20210307,GU,7749,209.0,112887.0,,posNeg,120636,2.0,,1.0,,1.0,,7590.0,3/7/2021 01:45,2021-03-07T01:45:00Z,03/06 20:45,133,,,2021-03-07T01:45:00Z,120426.0,,,7540.0,,,,,358.0,27.0,,,,,,,9299.0,248.0,66,0,0,120636,0,120636,,0,0,b6fe9a2c36aa6e5b1f0b14dd057d23c6968b10a4,0,0,0,0,0,"
"13,20210307,HI,28699,808.0,,,totalTestEncountersViral,1146796,27.0,2226.0,5.0,,3.0,,,3/5/2021 14:30,2021-03-05T14:30:00Z,03/05 09:30,445,2226.0,,2021-03-05T14:30:00Z,,27774.0,,27891.0,445.0,,1146796.0,,,,,,,,,,,,15,53,0,28699,5117,28699,,1,0,4f2c09f953483ffc35e24ac50e0c6c1f10077002,0,0,0,0,0,"
"14,20210307,IA,282384,,1044418.0,,posNeg,1326802,167.0,,35.0,,6.0,,320054.0,3/7/2021 00:00,2021-03-07T00:00:00Z,03/06 19:00,5558,,,2021-03-07T00:00:00Z,2753899.0,306343.0,2432425.0,282384.0,,,,1329195.0,,,,113739.0,19704.0,93984.0,247999.0,57190.0,1390094.0,60700.0,19,257,1299,1326802,1556,1326802,,6,0,33548da1aa99383ebd1ef74769d8bb1eba36b959,0,0,0,0,0,"
"15,20210307,ID,172931,33057.0,505964.0,,totalTestsPeopleViral,645838,150.0,7184.0,33.0,1245.0,,,96017.0,3/6/2021 19:00,2021-03-06T19:00:00Z,03/06 14:00,1879,7184.0,,2021-03-06T19:00:00Z,1103725.0,,,139874.0,1652.0,227.0,,645838.0,,,,,,,,,123809.0,,16,104,535,678895,396,678895,,3,5,78595a6705d321c83cba079dbee71b6db1897502,0,0,0,0,0,"
