Date;Day;DOW;Holiday;Influenza;Iws;PM10_lag0;PMc_lag0;Ir;NO2_lag0;O3_lag0;CO_lag0;PM25_lag1;PM10_lag1;Is;SO2_lag1;NO2_lag1;O3_lag1;CO_lag1;PM25_lag2;PM10_lag2;PMc_lag2;SO2_lag2;NO2_lag2;O3_lag2;CO_lag2;PM25_lag3;PM10_lag3;PMc_lag3;SO2_lag3;NO2_lag3;O3_lag3;CO_lag3;PM25_lag4;PM10_lag4;PMc_lag4;SO2_lag4;NO2_lag4;O3_lag4;CO_lag4;PM25_lag5;PM10_lag5;PMc_lag5;SO2_lag5;NO2_lag5;O3_lag5;CO_lag5;PM25_lag01;PM10_lag01;PMc_lag01;SO2_lag01;NO2_lag01;O3_lag01;CO_lag01;PM25_lag02;PM10_lag02;PMc_lag02;SO2_lag02;NO2_lag02;O3_lag02;CO_lag02;PM25_lag03;PM10_lag03;PMc_lag03;SO2_lag03;NO2_lag03;O3_lag03;CO_lag03;temp_lag0;temp_lag14;humid_lag0;Totalheart;Hypertension;CHD;Arrhythmia;Heartfailure;Cerebrovascular;Total_cardio;Totalheart_man;Hypertension_man;CHD_man;Other_man;Arrhythmia_man;Heartfailure_man;Cerebrovascular_man;Total_cardio_man;Totalheart_woman;Hypertension_woman;CHD_woman;Other_woman;Arrhythmia_woman;Heartfailure_woman;Cerebrovascular_woman;Total_cardio_woman;Totalheart_age1;Hypertension_age1;CHD_age1;Other_age1;Arrhythmia_age1;Heartfailure_age1;Cerebrovascular_age1;Total_cardio_age1;Totalheart_age2;Hypertension_age2;CHD_age2;Other_age2;Arrhythmia_age2;Heartfailure_age2;Cerebrovascular_age2;Total_cardio_age2;Total_Res;URTI;LRTI;AECOPD;Asthma;Total_res_man;URTI_man;LRTI_man;AECOPD_man;Asthma_man;Total_woman;URTI_woman;LRTI_woman;AECOPD_woman;Asthma_woman;Total_age1;URTI_age1;LRTI_age1;AECOPD_age1;Asthma_age1;Total_age2;URTI_age2;LRTI_age2;AECOPD_age2;Asthma_age2;Total_age3;URTI_age3;LRTI_age3;AECOPD_age3;Asthma_age3;Total_age4;URTI_age4;LRTI_age4;AECOPD_age4;Asthma_age4;all0;all1;URTI0;URTI1;LRTI0;LRTI1;Asthma0;Asthma1;AECOPD0;AECOPD1;xxx
01/01/2013;1;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-5.11;;60;30;10;6;3;65;125;26;11;6;4;3;2;35;61;34;19;4;7;3;1;30;64;26;15;4;5;2;0;31;57;34;15;6;6;4;3;34;68;556;318;212;4;11;273;138;122;3;6;283;180;90;1;5;27;10;17;0;0;221;161;53;0;2;184;104;69;1;6;123;43;72;3;3;466;90;295;23;153;59;8;3;1;3;1
02/01/2013;2;3;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-5.51;;62;31;13;8;3;39;101;26;11;4;4;6;1;22;48;36;20;9;3;2;2;17;53;26;15;6;2;3;0;21;47;36;16;7;5;5;3;18;54;503;330;155;4;8;223;141;75;1;6;280;189;80;3;2;30;18;12;0;0;196;168;27;0;0;151;103;41;1;5;126;41;75;3;3;410;93;307;23;94;61;5;3;2;2;1
03/01/2013;3;4;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-5.96;;67;21;25;7;4;42;109;24;7;12;4;0;1;20;44;43;14;13;6;7;3;22;65;28;13;8;4;3;0;16;44;39;8;17;6;4;4;26;65;529;338;164;0;20;221;139;70;0;8;308;199;94;0;12;27;17;10;0;0;225;181;35;0;4;163;108;47;0;7;114;32;72;0;9;438;91;319;19;101;63;12;8;;;1
04/01/2013;4;5;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-6.45;;64;27;16;7;1;40;104;31;14;10;4;2;1;20;51;33;13;6;9;5;0;20;53;26;9;5;9;3;0;13;39;38;18;11;4;4;1;27;65;479;316;144;3;6;194;128;60;1;1;285;188;84;2;5;25;11;13;0;0;198;170;25;1;0;136;100;32;0;3;120;35;74;2;3;388;91;293;23;84;60;5;1;1;2;1
05/01/2013;5;6;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-6.78;;51;25;18;4;0;40;91;20;9;8;1;2;0;19;39;31;16;10;3;2;0;21;52;19;10;3;2;4;0;18;37;32;15;15;2;0;0;22;54;454;296;144;2;5;192;113;70;1;2;262;183;74;1;3;24;10;14;0;0;178;157;20;0;0;138;96;35;0;3;114;33;75;2;2;370;84;275;21;86;58;4;1;;2;1
06/01/2013;6;7;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-7.11;;71;39;23;5;0;33;104;35;20;10;2;3;0;18;53;36;19;13;2;2;0;15;51;31;22;4;3;2;0;13;44;40;17;19;1;3;0;20;60;463;312;136;2;3;184;123;56;0;0;279;189;80;2;3;31;11;20;0;0;213;188;20;0;0;129;90;34;0;2;90;23;62;2;1;393;70;294;18;88;48;2;1;;2;1
07/01/2013;7;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-7.3;;72;31;29;0;4;36;108;35;13;14;6;0;2;22;57;37;18;15;2;0;2;14;51;30;16;12;1;0;1;15;45;42;15;17;7;0;3;21;63;488;327;145;3;5;204;126;72;1;1;284;201;73;2;4;11;5;6;0;0;231;200;28;0;1;134;83;47;1;1;112;39;64;2;3;409;79;303;24;98;47;2;3;1;2;1
08/01/2013;8;2;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-7.58;;77;47;14;6;4;41;118;39;23;10;1;3;2;21;60;38;24;4;5;3;2;20;58;29;20;3;3;3;0;17;46;48;27;11;3;3;4;24;72;479;317;145;5;6;200;128;66;2;2;279;189;79;3;4;22;12;8;0;1;232;198;33;0;0;122;77;40;0;2;103;30;64;5;3;401;78;298;19;93;52;3;3;1;4;1
09/01/2013;9;3;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-7.89;;77;28;28;5;6;18;95;27;11;8;5;2;1;10;37;50;17;20;5;3;5;8;58;31;15;10;3;2;1;7;38;46;13;18;7;3;5;11;57;462;272;173;1;4;211;119;81;1;2;251;153;92;0;2;35;15;20;0;0;209;162;38;0;0;110;65;44;0;1;108;30;71;1;3;383;79;255;17;114;59;3;1;;1;1
10/01/2013;10;4;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-8.05;;72;27;24;4;3;32;104;26;11;7;6;1;1;17;43;46;16;17;8;3;2;15;61;37;16;11;8;2;0;14;51;35;11;13;6;2;3;18;53;439;293;133;3;6;193;119;66;2;2;246;174;67;1;4;37;27;10;0;0;185;163;20;0;1;117;75;39;0;2;100;28;64;3;3;361;78;276;17;78;55;3;3;1;2;1
