,dep,date,month,tx_incid
150,01,2020-08-15,2020-08,13.851785890966699
181,01,2020-09-15,2020-09,89.8082821502234
211,01,2020-10-15,2020-10,333.203948520066
242,01,2020-11-15,2020-11,442.039409091947
272,01,2020-12-15,2020-12,161.350473015656
303,01,2021-01-15,2021-01,203.36248297067502
334,01,2021-02-15,2021-02,202.144743551689
362,01,2021-03-15,2021-03,213.86548545943
538,02,2020-08-15,2020-08,5.132591958939259
569,02,2020-09-15,2020-09,42.7715996578272
599,02,2020-10-15,2020-10,150.365934797073
630,02,2020-11-15,2020-11,219.37078224503398
660,02,2020-12-15,2020-12,205.683870354529
691,02,2021-01-15,2021-01,219.560878243513
722,02,2021-02-15,2021-02,254.15834996673303
750,02,2021-03-15,2021-03,335.329341317365
926,03,2020-08-15,2020-08,3.6219307909391403
957,03,2020-09-15,2020-09,28.371791195689898
987,03,2020-10-15,2020-10,135.82240466021798
1018,03,2020-11-15,2020-11,381.510043312256
1048,03,2020-12-15,2020-12,206.751882649442
1079,03,2021-01-15,2021-01,223.05057120866798
1110,03,2021-02-15,2021-02,120.731026364638
1138,03,2021-03-15,2021-03,160.572265064968
1314,04,2020-08-15,2020-08,29.0562177279248
1345,04,2020-09-15,2020-09,56.901759717186096
1375,04,2020-10-15,2020-10,166.467914066236
1406,04,2020-11-15,2020-11,277.850082023281
1436,04,2020-12-15,2020-12,73.85122005847559
1467,04,2021-01-15,2021-01,188.865415231511
1498,04,2021-02-15,2021-02,233.05507969272998
1526,04,2021-03-15,2021-03,224.58034952208598
1702,05,2020-08-15,2020-08,14.1087502469031
1733,05,2020-09-15,2020-09,52.90781342588671
1763,05,2020-10-15,2020-10,259.601004543018
1794,05,2020-11-15,2020-11,448.65825785152
1824,05,2020-12-15,2020-12,144.614690030757
1855,05,2021-01-15,2021-01,268.771692203505
1886,05,2021-02-15,2021-02,243.375941759079
1914,05,2021-03-15,2021-03,287.113067524479
2090,06,2020-08-15,2020-08,55.0307764712858
2121,06,2020-09-15,2020-09,157.124910598149
2151,06,2020-10-15,2020-10,154.345578453135
2182,06,2020-11-15,2020-11,226.422925413843
2212,06,2020-12-15,2020-12,194.645894555844
2243,06,2021-01-15,2021-01,436.077213552765
2274,06,2021-02-15,2021-02,608.210517733992
2302,06,2021-03-15,2021-03,483.14057120834195
2478,07,2020-08-15,2020-08,10.0956022944551
