,job.creationDate,month,title,place.city,place.zipCode,Dpt,company.name
0,2021-04-06T14:08:56.000Z,2021-04,coiffeur/coiffeuse en alternance (CAP) (H/F),91 - MONTGERON,91230,91,FRANCK PROVOST
1,2021-02-04T17:25:49.000Z,2021-02,Coiffeur / Coiffeuse,91 - OLLAINVILLE,91340,91,Salon des terrasses 
2,2021-04-08T15:55:42.000Z,2021-04,UN ALTERNANT - CHARGE DE PROJET FORMATION DIGITALE  (H/F),69 - NEUVILLE SUR SAONE,69250,69,SANOFI-AVENTIS GROUPE
3,2021-03-21T08:59:42.000Z,2021-03,Préparateur / Préparatrice de commandes (H/F),91 - ATHIS MONS,91200,91,
4,2021-03-22T17:45:11.000Z,2021-03,Agent / Agente logistique en magasinage (H/F),91 - ATHIS MONS,91200,91,
5,2021-03-29T15:13:59.000Z,2021-03,Chargé / Chargée d'études en marketing (H/F),77 - PRINGY,77310,77,TENTE
6,2021-04-08T10:27:40.000Z,2021-04,Magasinier / Magasinière Magasin de Pièces de Rechange -MPR- (H/F),91 - ETAMPES,91150,91,ATAC PIECES AUTO
7,2021-04-08T10:17:41.000Z,2021-04,Magasinier / Magasinière en pièces et fournitures automobiles,45 - VILLEMANDEUR,45700,45,ATAC MONTARGIS
8,2021-04-08T09:48:38.000Z,2021-04,Magasinier / Magasinière,45 - ST JEAN DE LA RUELLE,45140,45,ATAC PIECES AUTO SAS
9,2021-04-08T11:51:25.000Z,2021-04,Magasinier vendeur / Magasinière vendeuse,45 - LA CHAPELLE ST MESMIN,45380,45,100% Batterie
10,2021-04-09T04:03:43.000Z,2021-04,Chef de projet évènementiel (H/F),91 - PALAISEAU,91120,91,
11,2021-03-27T04:31:15.000Z,2021-03,Chargé / Chargée des relations presse (H/F),91 - MASSY,91300,91,
12,2021-04-08T06:16:54.000Z,2021-04,Data analyst (H/F),91 - MASSY,91300,91,
13,2021-01-05T15:36:46.000Z,2021-01,Assistant coiffeur / Assistante coiffeuse     (H/F),94 - CHOISY LE ROI,94600,94,HAIR PRESTIGE
14,2021-04-08T06:17:01.000Z,2021-04,Préparateur / Préparatrice de commandes drive en grande distribution (H/F),77 - PONTAULT COMBAULT,77340,77,
15,2021-03-24T07:52:54.000Z,2021-03,Préparateur / Préparatrice de commandes drive en grande distribution (H/F),77 - PONTAULT COMBAULT,77340,77,
16,2021-04-01T16:36:15.000Z,2021-04,Chargé / Chargée d'études commerciales (H/F),78 - GUYANCOURT,78280,78,BOUYGUES ENERGIES & SERVICES
17,2021-03-26T11:04:30.000Z,2021-03,UN ALTERNANT- CHARGE DE COMMUNICATION  (H/F),94 - VITRY SUR SEINE,94400,94,SANOFI-AVENTIS GROUPE
18,2021-04-03T10:42:23.000Z,2021-04,Préparateur / Préparatrice de commandes drive en grande distribution (H/F),94 - ORMESSON SUR MARNE,94490,94,
19,2021-03-18T14:37:36.000Z,2021-03,Préparateur / Préparatrice de commandes drive en grande distribution (H/F),94 - ORMESSON SUR MARNE,94490,94,
20,2021-04-06T11:39:34.000Z,2021-04,Chargé / Chargée d'études commerciales   (H/F),94 - VILLEJUIF,94800,94,CFA EHL
21,2021-03-18T11:44:20.000Z,2021-03,Préparateur / préparatrice de commande drive (H/F),77 - PONTAULT COMBAULT,77340,77,
22,2021-03-23T10:31:39.000Z,2021-03,Chargé / Chargée de communication (H/F),94 - ARCUEIL,94110,94,ETAT-MAJOR DU SERVICE MILITAIRE VOLONTAIRE
23,2021-03-24T07:43:44.000Z,2021-03,Préparateur / Préparatrice de commandes drive en grande distribution (H/F),77 - PONTAULT COMBAULT,77340,77,
24,2021-03-18T09:55:08.000Z,2021-03,Chargé / Chargée de communication (H/F),94 - ARCUEIL,94110,94,
25,2021-03-05T10:55:19.000Z,2021-03,Chargé / Chargée d'études socio-économiques (H/F),94 - IVRY SUR SEINE,94200,94,BLUELINK
26,2021-04-06T15:49:46.000Z,2021-04,UN ALTERNANT - DATA SCIENTIST MACHING LEARNING  (H/F),94 - GENTILLY,94250,94,SANOFI-AVENTIS GROUPE
27,2021-03-06T14:59:43.000Z,2021-03,Responsable de livraison fonctionnelle/Data analyst H/F,92 - MONTROUGE,92120,92,
28,2021-03-22T15:53:49.000Z,2021-03,Chargé / Chargée de communication (H/F),77 - CROISSY BEAUBOURG,77183,77,
29,2021-03-26T03:55:06.000Z,2021-03,Chargé / Chargée de communication (H/F),92 - ISSY LES MOULINEAUX,92130,92,
