Area,Item,Element,Unit,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014
Albania,Apples,Production,tonnes,15000.0,16000.0,27566.0,36000.0,45000.0,47202.0,54604.0,64000.0,71300.0,75730.0,82060.0
Albania,Apricots,Production,tonnes,1800.0,2000.0,1900.0,2000.0,3500.0,3850.0,3471.0,3900.0,4430.0,4400.0,4140.0
Albania,Barley,Production,tonnes,3700.0,4100.0,6000.0,3500.0,3600.0,4500.0,7300.0,8700.0,7000.0,6970.0,7300.0
Albania,"Beans, dry",Production,tonnes,22400.0,23600.0,24300.0,20800.0,21800.0,23000.0,24000.0,25300.0,27000.0,28000.0,30000.0
Albania,"Beans, green",Production,tonnes,7600.0,7800.0,16000.0,7000.0,7100.0,6902.0,9307.0,8200.0,8400.0,9170.0,11130.0
Albania,"Broad beans, horse beans, dry",Production,tonnes,202.0,202.0,203.0,203.0,205.0,209.0,200.0,205.0,220.0,200.0,206.0
Albania,Cabbages and other brassicas,Production,tonnes,40500.0,41000.0,35129.0,25000.0,30400.0,26823.0,35832.0,45400.0,46600.0,45090.0,34570.0
Albania,Carrots and turnips,Production,tonnes,3800.0,4000.0,1268.0,4000.0,6400.0,6608.0,6303.0,9200.0,9500.0,6900.0,5690.0
Albania,Cauliflowers and broccoli,Production,tonnes,3200.0,3300.0,3210.0,3000.0,5150.0,4917.0,4601.0,2300.0,5000.0,4740.0,3460.0
Albania,Cherries,Production,tonnes,6900.0,7200.0,7680.0,7500.0,8000.0,10871.0,12528.0,14400.0,16970.0,18920.0,17730.0
Albania,"Cherries, sour",Production,tonnes,12000.0,14000.0,13600.0,13000.0,13854.0,14367.0,15000.0,17000.0,17000.0,17000.0,17000.0
Albania,Chestnut,Production,tonnes,5000.0,5000.0,5000.0,5000.0,5000.0,5580.0,5704.0,5200.0,5800.0,5451.0,6590.0
Albania,"Chillies and peppers, green",Production,tonnes,45600.0,46000.0,49078.0,45000.0,46600.0,51757.0,65475.0,63700.0,65400.0,66550.0,68970.0
Albania,Cotton lint,Production,tonnes,315.0,329.0,310.0,250.0,190.0,220.0,230.0,230.0,230.0,230.0,230.0
Albania,Cottonseed,Production,tonnes,590.0,590.0,616.0,600.0,466.0,640.0,570.0,546.0,540.0,540.0,540.0
Albania,Cucumbers and gherkins,Production,tonnes,53500.0,55000.0,52912.0,50000.0,55700.0,60980.0,68959.0,72000.0,74000.0,76070.0,79930.0
Albania,Dates,Production,tonnes,5800.0,6590.0,7900.0,8000.0,9000.0,9500.0,10921.0,11586.0,12120.0,12250.0,12180.0
Albania,Eggplants (aubergines),Production,tonnes,20000.0,21100.0,17094.0,20000.0,17400.0,19579.0,23641.0,23700.0,24300.0,24740.0,28200.0
Albania,Figs,Production,tonnes,15000.0,16000.0,16650.0,16000.0,18000.0,19517.0,18387.0,19600.0,20570.0,19940.0,19350.0
Albania,"Fruit, fresh nes",Production,tonnes,8000.0,10000.0,12500.0,15462.0,10560.0,14242.0,8947.0,3048.0,10120.0,9188.0,10058.0
Albania,Garlic,Production,tonnes,7000.0,7000.0,5917.0,6000.0,6660.0,7044.0,8132.0,15330.0,15700.0,8210.0,8240.0
Albania,Grapes,Production,tonnes,97100.0,115100.0,127800.0,146500.0,153900.0,162800.0,184900.0,195200.0,196800.0,204000.0,203700.0
Albania,Hops,Production,tonnes,900.0,800.0,1000.0,1028.0,1036.0,1500.0,1550.0,1600.0,1650.0,1700.0,1700.0
Albania,"Leeks, other alliaceous vegetables",Production,tonnes,26500.0,27000.0,22495.0,20000.0,23600.0,17476.0,20682.0,30700.0,29300.0,32110.0,29900.0
Albania,Lemons and limes,Production,tonnes,602.0,700.0,860.0,1525.0,2840.0,1350.0,1637.0,1900.0,2380.0,2520.0,2933.0
Albania,Maize,Production,tonnes,216200.0,219900.0,245400.0,215900.0,245000.0,265100.0,362000.0,366400.0,360000.0,372000.0,380000.0
Albania,"Melons, other (inc.cantaloupes)",Production,tonnes,30500.0,31000.0,40805.0,40000.0,74800.0,32696.0,64622.0,34400.0,35300.0,40430.0,42460.0
Albania,Mushrooms and truffles,Production,tonnes,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Albania,"Nuts, nes",Production,tonnes,2800.0,3500.0,3800.0,4000.0,4500.0,5237.0,4363.0,5500.0,6250.0,1000.0,1856.0
Albania,Oats,Production,tonnes,23100.0,24200.0,22600.0,21400.0,21800.0,25000.0,27300.0,29900.0,27000.0,27000.0,30000.0
Albania,Okra,Production,tonnes,5300.0,5800.0,10500.0,7400.0,8000.0,8083.0,8264.0,8539.0,8742.0,8945.0,9149.0
Albania,Olives,Production,tonnes,58700.0,30200.0,40200.0,27600.0,56200.0,78000.0,70000.0,65400.0,108000.0,92000.0,98000.0
Albania,"Onions, dry",Production,tonnes,50000.0,52000.0,61691.0,60000.0,61300.0,65467.0,70344.0,103049.0,105600.0,90540.0,94300.0
Albania,"Onions, shallots, green",Production,tonnes,13000.0,13800.0,13299.0,13000.0,25780.0,26306.0,33415.0,38000.0,28929.0,28310.0,26770.0
Albania,Oranges,Production,tonnes,4900.0,5200.0,3670.0,4200.0,4500.0,5750.0,6631.0,7100.0,912.0,9665.0,4120.0
Albania,Peaches and nectarines,Production,tonnes,4800.0,5600.0,7540.0,7500.0,9000.0,11047.0,11525.0,13100.0,14680.0,14430.0,14420.0
Albania,Pears,Production,tonnes,4000.0,4300.0,4760.0,4700.0,5570.0,7180.0,7326.0,8400.0,9420.0,9970.0,10370.0
Albania,Plums and sloes,Production,tonnes,19000.0,16000.0,18000.0,20000.0,22000.0,23791.0,26083.0,29600.0,34910.0,36300.0,33180.0
Albania,Potatoes,Production,tonnes,159800.0,169300.0,162600.0,154900.0,190000.0,200000.0,208000.0,230100.0,233000.0,236700.0,240000.0
Albania,"Pulses, nes",Production,tonnes,517.0,550.0,600.0,500.0,600.0,599.0,600.0,633.0,700.0,700.0,700.0
Albania,"Pumpkins, squash and gourds",Production,tonnes,7200.0,7500.0,5374.0,7000.0,5470.0,6482.0,9726.0,9400.0,8900.0,9480.0,11520.0
Albania,Quinces,Production,tonnes,500.0,700.0,1500.0,2813.0,3000.0,3200.0,3195.0,3219.0,3820.0,3770.0,4090.0
Albania,Rye,Production,tonnes,2400.0,3000.0,2600.0,3300.0,3100.0,3200.0,2300.0,3400.0,3400.0,2900.0,3070.0
Albania,Seed cotton,Production,tonnes,1010.0,1030.0,1000.0,900.0,700.0,735.0,743.0,750.0,757.0,820.0,830.0
Albania,Soybeans,Production,tonnes,400.0,700.0,400.0,400.0,600.0,500.0,500.0,600.0,400.0,300.0,350.0
Albania,"Spices, nes",Production,tonnes,186.0,100.0,200.0,150.0,200.0,300.0,286.0,319.0,360.0,311.0,350.0
Albania,Spinach,Production,tonnes,6000.0,6500.0,6311.0,6000.0,12200.0,10577.0,13768.0,15000.0,15300.0,16890.0,18490.0
Albania,Sugar beet,Production,tonnes,40000.0,40000.0,50000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,40000.0,36520.0
Albania,Sunflower seed,Production,tonnes,2200.0,2000.0,2200.0,2400.0,2200.0,2300.0,2600.0,3000.0,2000.0,1500.0,2000.0
Albania,"Tangerines, mandarins, clementines, satsumas",Production,tonnes,760.0,900.0,1070.0,1000.0,1100.0,2900.0,5037.0,5800.0,7120.0,7548.0,13904.0
Albania,"Tobacco, unmanufactured",Production,tonnes,2100.0,1900.0,2000.0,900.0,1300.0,1600.0,1700.0,1900.0,2000.0,2900.0,3000.0
Albania,Tomatoes,Production,tonnes,152000.0,152000.0,164853.0,160000.0,162500.0,162376.0,199283.0,200000.0,205000.0,226220.0,234150.0
Albania,"Vegetables, fresh nes",Production,tonnes,1000.0,1000.0,3500.0,11500.0,23040.0,16964.0,14949.0,14712.0,16210.0,18450.0,20300.0
Albania,"Vegetables, leguminous nes",Production,tonnes,100.0,100.0,100.0,100.0,98.0,100.0,101.0,99.0,97.0,94.0,92.0
Albania,Vetches,Production,tonnes,1700.0,1728.0,1800.0,1600.0,1745.0,1780.0,1800.0,1950.0,2100.0,2100.0,2006.0
Albania,Watermelons,Production,tonnes,204340.0,204000.0,169107.0,190000.0,142875.0,195430.0,199364.0,231200.0,237300.0,205730.0,216270.0
Albania,Wheat,Production,tonnes,253400.0,260000.0,230900.0,249500.0,335000.0,333100.0,294900.0,292800.0,300000.0,294000.0,280000.0
Albania,Cereals (Rice Milled Eqv),Production,tonnes,498800.0,511200.0,507500.0,493600.0,608500.0,630900.0,693800.0,701200.0,697400.0,702870.0,700370.0
Albania,"Cereals,Total",Production,tonnes,498800.0,511200.0,507500.0,493600.0,608500.0,630900.0,693800.0,701200.0,697400.0,702870.0,700370.0
Albania,"Citrus Fruit,Total",Production,tonnes,6262.0,6800.0,5600.0,6725.0,8640.0,10200.0,13505.0,15000.0,10652.0,19996.0,20998.0
Albania,"Coarse Grain, Total",Production,tonnes,245400.0,251200.0,276600.0,244100.0,273500.0,297800.0,398900.0,408400.0,397400.0,408870.0,420370.0
Albania,Fibre Crops Primary,Production,tonnes,315.0,329.0,310.0,250.0,190.0,220.0,230.0,230.0,230.0,230.0,230.0
Albania,"Fruit excl Melons,Total",Production,tonnes,196162.0,220290.0,252996.0,286200.0,310024.0,337767.0,370392.0,398053.0,422792.0,445894.0,449276.0
Albania,Oilcakes Equivalent,Production,tonnes,1651.0,1794.0,1664.0,1750.0,1746.0,1802.0,1908.0,2162.0,1531.0,1217.0,1492.0
Albania,Oilcrops Primary,Production,tonnes,13982.0,7684.0,9917.0,7224.0,13449.0,18295.0,16647.0,15813.0,24738.0,20995.0,22529.0
Albania,"Pulses,Total",Production,tonnes,24818.0,26080.0,26903.0,23103.0,24351.0,25588.0,26600.0,28088.0,30020.0,31000.0,32913.0
Albania,"Roots and Tubers,Total",Production,tonnes,159800.0,169300.0,162600.0,154900.0,190000.0,200000.0,208000.0,230100.0,233000.0,236700.0,240000.0
Albania,"Treenuts,Total",Production,tonnes,7800.0,8500.0,8800.0,9000.0,9500.0,10817.0,10067.0,10700.0,12050.0,6451.0,8446.0
Albania,Vegetables Primary,Production,tonnes,677240.0,686000.0,687500.0,679100.0,723603.0,737914.0,868935.0,937129.0,951878.0,932710.0,959601.0
Albania,"Vegetables&Melons, Total",Production,tonnes,677240.0,686000.0,687500.0,679100.0,723603.0,737914.0,868935.0,937129.0,951878.0,932710.0,959601.0
Austria,Apples,Production,tonnes,484096.0,452607.0,509139.0,477882.0,551356.0,485609.0,488954.0,546741.0,471420.0,423554.0,560332.0
Austria,Apricots,Production,tonnes,15746.0,13090.0,25203.0,14553.0,15327.0,24410.0,12865.0,23505.0,8509.0,35727.0,25063.0
Austria,Asparagus,Production,tonnes,2103.0,2167.0,2161.0,2447.0,2281.0,2479.0,1919.0,2464.0,3295.0,2604.0,2519.0
Austria,Barley,Production,tonnes,1006740.0,879628.0,914052.0,810980.0,967921.0,835107.0,777961.0,859375.0,662466.0,734100.0,845705.0
Austria,"Beans, green",Production,tonnes,5511.0,5621.0,5669.0,6318.0,6382.0,6631.0,5607.0,5963.0,7054.0,5517.0,5607.0
Austria,Berries nes,Production,tonnes,10000.0,6126.0,5331.0,4114.0,3227.0,2160.0,945.0,850.0,949.0,891.0,861.0
Austria,"Broad beans, horse beans, dry",Production,tonnes,7764.0,10234.0,12261.0,10522.0,8118.0,6728.0,10500.0,17592.0,15991.0,13651.0,21459.0
Austria,Buckwheat,Production,tonnes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria,Cabbages and other brassicas,Production,tonnes,100098.0,88832.0,96145.0,98627.0,91882.0,94165.0,91929.0,102318.0,93356.0,76756.0,89779.0
