,Employed foreigners,Employed nationals,Unemployed foreigners,Unemployed nationals,Year,Country,Active nationals,Active foreigners,Active population,Unemployed population,Employed population,Unemployment rate total,Unemployment rate nationals,Unemployment rate foreigners,Change Active population,Change Active nationals,Change Active foreigners,Change Unemployed population,Change Unemployed nationals,Change Unemployed foreigners,Change Employed population,Change Employed nationals,Change Employed foreigners,Net increase active foreigners as % of last year active population
2010Austria,840.6,7047.0,86.8,319.6,2010,Austria,7366.6,927.4,8294.0,406.40000000000003,7887.6,0.04899927658548349,0.043385008009122254,0.09359499676514987,0,0,0,0,0,0,0,0,0,0
2010Belgium,761.4,8139.799999999999,149.0,662.0,2010,Belgium,8801.8,910.4,9712.199999999999,811.0,8901.199999999999,0.08350322275076709,0.07521188847735691,0.16366432337434095,0,0,0,0,0,0,0,0,0,0
2010Bulgaria,3.9,6066.2,0.0,699.5999999999999,2010,Bulgaria,6765.799999999999,3.9,6769.699999999999,699.5999999999999,6070.099999999999,0.10334283646247248,0.1034024062195158,0.0,0,0,0,0,0,0,0,0,0,0
2010Croatia,6.0,3290.6000000000004,0.0,443.0,2010,Croatia,3733.6000000000004,6.0,3739.6000000000004,443.0,3296.6000000000004,0.11846186757942025,0.11865223912577672,0.0,0,0,0,0,0,0,0,0,0,0
2010Cyprus,164.0,600.5,15.4,37.2,2010,Cyprus,637.7,179.4,817.1,52.6,764.5,0.06437400562966589,0.058334640112905754,0.0858416945373467,0,0,0,0,0,0,0,0,0,0
2010Czechia,143.8,9475.6,6.8,758.1,2010,Czechia,10233.7,150.60000000000002,10384.300000000001,764.9,9619.4,0.07365927409647255,0.07407877893625961,0.04515272244355909,0,0,0,0,0,0,0,0,0,0
2010Denmark,194.39999999999998,5002.8,38.5,407.20000000000005,2010,Denmark,5410.0,232.89999999999998,5642.9,445.70000000000005,5197.2,0.07898421024650447,0.07526802218114603,0.16530699871189353,0,0,0,0,0,0,0,0,0,0
2010Estonia,166.79999999999998,929.5999999999999,70.5,156.2,2010,Estonia,1085.8,237.29999999999998,1323.1,226.7,1096.3999999999999,0.17134003476683546,0.14385706391600664,0.29709228824273076,0,0,0,0,0,0,0,0,0,0
2010Euro area - 19 countries  (from 2015),22215.499999999996,257602.2,4937.1,26949.0,2010,Euro area - 19 countries  (from 2015),284551.2,27152.6,311703.8,31886.1,279817.7,0.10229615423360254,0.09470703339153023,0.18182789125166654,0,0,0,0,0,0,0,0,0,0
2010European Union - 15 countries (1995-2004),26849.4,310668.0,5347.799999999999,30513.6,2010,European Union - 15 countries (1995-2004),341181.6,32197.2,373378.8,35861.399999999994,337517.4,0.09604562444359453,0.0894350691830978,0.16609518840147589,0,0,0,0,0,0,0,0,0,0
2010European Union - 27 countries (from 2020),23092.8,344193.9,5092.4,35523.1,2010,European Union - 27 countries (from 2020),379717.0,28185.199999999997,407902.2,40615.5,367286.7,0.09957166203075149,0.09355151336389995,0.18067638335012703,0,0,0,0,0,0,0,0,0,0
2010European Union - 28 countries (2013-2020),27756.2,396018.2,5556.5,39927.2,2010,European Union - 28 countries (2013-2020),435945.4,33312.7,469258.10000000003,45483.7,423774.4,0.09692682981924018,0.09158761624735573,0.16679824811558355,0,0,0,0,0,0,0,0,0,0
2010Finland,94.2,4726.0,23.0,424.59999999999997,2010,Finland,5150.6,117.2,5267.8,447.59999999999997,4820.2,0.08496905729146892,0.0824369976313439,0.1962457337883959,0,0,0,0,0,0,0,0,0,0
2010France,2713.3999999999996,48433.2,530.9,4467.0,2010,France,52900.2,3244.2999999999997,56144.5,4997.9,51146.6,0.08901851472539607,0.08444202479385712,0.16364084702401135,0,0,0,0,0,0,0,0,0,0
