indic_et,sitc06,partner,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
CONT_EXP_EU,TOTAL,EXT_EU28,AT	2.5 	2.4 	2.4 	2.3 	2.3 	2.3 	2.4 	2.3 	2.3 	2.3 	2.3 	2.3 
CONT_EXP_EU,TOTAL,EXT_EU28,BE	5.6 	5.9 	6.1 	6.2 	6.2 	6.1 	6.1 	5.7 	5.8 	5.6 	5.5 	5.4 
CONT_EXP_EU,TOTAL,EXT_EU28,BG	0.5 	0.4 	0.4 	0.5 	0.5 	0.5 	0.5 	0.4 	0.5 	0.5 	0.5 	0.5 
CONT_EXP_EU,TOTAL,EXT_EU28,CY	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.1 	0.1 	0.1 	0.1 	0.2 	0.1 
CONT_EXP_EU,TOTAL,EXT_EU28,CZ	1.1 	1.1 	1.2 	1.3 	1.4 	1.3 	1.4 	1.3 	1.4 	1.4 	1.4 	1.4 
CONT_EXP_EU,TOTAL,EXT_EU28,DE	27.3 	27.4 	27.8 	27.6 	27.9 	27.0 	28.0 	28.1 	28.6 	28.3 	27.7 	27.1 
CONT_EXP_EU,TOTAL,EXT_EU28,DK	1.8 	2.0 	1.8 	1.8 	1.8 	1.7 	1.8 	1.9 	1.9 	1.8 	1.8 	2.0 
CONT_EXP_EU,TOTAL,EXT_EU28,EE	0.2 	0.2 	0.2 	0.3 	0.3 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 
CONT_EXP_EU,TOTAL,EXT_EU28,EL	0.6 	0.7 	0.7 	0.7 	0.9 	0.8 	0.8 	0.7 	0.6 	0.7 	0.8 	0.7 
CONT_EXP_EU,TOTAL,EXT_EU28,ES	4.4 	4.5 	4.4 	4.7 	5.0 	5.1 	5.2 	5.0 	5.0 	5.1 	5.0 	4.9 
CONT_EXP_EU,TOTAL,EXT_EU28,EU28	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
