,AT,BE,BG,CY,CZ,DE,DK,EE,EL,ES,28,FI,FR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK,UK
2008 ,-2042.5999999999995,3761.7999999999993,-9889.8,-6126.2,3237.2,177525.5,5140.299999999999,-2426.3,-44301.7,-94717.1,-202104.2,3177.7999999999997,-68367.4,-11232.0,-296.5,28389.0,-13034.6,-5067.0,-4394.0,-4078.3,-1236.6,38741.5,-26071.699999999997,-25346.600000000002,-23469.1,10079.3,-1976.0,-1883.0,-126200.1
2009 ,-4355.4,11618.699999999999,-5176.5,-4715.8,5669.2,138868.3,7779.6,-783.0,-35123.0,-47232.1,-76317.8,1408.8000000000002,-56062.4,-7702.3,3762.199999999999,38158.899999999994,-5875.5,-1326.2,-2861.6,-1512.1,-1161.6,39244.40000000001,-9289.0,-19681.8,-9863.1,7818.1,-357.4,309.7999999999993,-117877.1
2010 ,-4864.900000000001,12457.8,-3683.6,-5406.1,4774.5,153963.9,10098.900000000001,-525.3000000000001,-28487.2,-54762.0,-104577.5,539.2000000000007,-65854.1,-6231.8,5510.1,40953.0,-29982.5,-2002.3999999999999,-4533.0,-1628.2,-1113.5,46339.5,-13823.1,-21379.5,-9451.3,7244.3,-692.7,-511.39999999999964,-131525.9
2011 ,-10050.2,6270.799999999999,-3141.8999999999996,-4927.8,7768.799999999999,157410.6,11638.5,-539.2,-23645.6,-50327.0,-108043.6,-3679.5,-88761.29999999999,-6699.0,7091.900000000001,39094.100000000006,-25523.800000000003,-2674.7999999999997,-5742.5,-2269.8,-1369.9,52252.30000000002,-15733.2,-16723.4,-9658.800000000001,7138.800000000001,-610.3999999999999,-304.39999999999964,-124326.90000000001
2012 ,-9263.9,5301.1,-4689.0,-4324.3,12164.499999999998,191672.4,11882.7,-1555.8000000000002,-20488.3,-32758.8,-45094.2,-2639.2,-82274.9,-6585.799999999999,6533.299999999999,37617.0,9889.6,-1831.6,-6569.6,-2425.2,-1827.1000000000001,53274.40000000001,-10651.8,-11161.1,-9624.699999999999,6156.0,99.60000000000002,2540.2999999999993,-173553.7
2013 ,-6115.2,12862.8,-3556.7,-3233.6000000000004,13564.1,198655.30000000002,10240.6,-1614.5,-18600.0,-17140.7,116555.6,-2359.0999999999995,-76738.3,-7049.900000000001,5565.7,32640.100000000002,29230.3,-1663.0000000000002,-6209.6,-2558.5,-1875.7,61635.999999999985,-1974.999999999999,-9710.0,-5757.400000000001,5226.0999999999985,486.20000000000005,2867.7,-90262.09999999999
2014 ,-2828.6000000000004,13860.9,-4074.7,-3641.5,15596.2,216459.59999999998,8941.1,-1693.3,-19609.699999999997,-25885.4,90579.7,-1796.0999999999995,-71445.20000000001,-6723.2,4287.8,29385.2,41931.5,-1528.1000000000004,-5697.2,-2445.2999999999997,-2926.6000000000004,62650.399999999994,-2651.5,-10978.4,-6055.0,1788.0999999999985,1523.9,3508.3999999999996,-139373.6
2015 ,-2942.3999999999996,19202.0,-3469.1000000000004,-3377.6000000000004,14882.8,248195.80000000002,8887.099999999999,-1521.3999999999999,-16457.6,-26622.699999999997,138609.8,-536.3000000000002,-58098.4,-6900.2,5898.799999999999,41808.3,41806.9,-2495.6,-5555.7,-2195.6000000000004,-3087.7000000000003,52512.000000000015,2350.6000000000004,-10710.8,-8359.0,1451.1000000000004,1905.3000000000002,2068.9000000000005,-150029.3
2016 ,-5102.1,16925.999999999996,-2136.9,-4396.5,17710.9,251727.8,8844.6,-1617.9,-16871.3,-19015.5,108539.0,-2674.199999999999,-60023.90000000001,-7301.7,7244.2,44851.3,49643.1,-2130.3,-5502.1,-1936.1,-2931.9,63171.20000000001,3885.8999999999996,-11385.1,-9970.8,-1561.3999999999996,2144.8999999999996,2132.0000000000005,-205185.2
2017 ,-6819.9,18522.699999999997,-2433.3,-5244.7,16731.2,252294.0,8510.7,-1893.1,-18493.0,-28556.600000000002,92296.8,-2221.1000000000004,-74325.5,-7774.8,5595.0,39165.8,47641.799999999996,-2105.7000000000003,-6301.3,-2568.5,-2788.1000000000004,68714.5,564.9000000000015,-14670.6,-12952.0,-1118.7999999999993,2090.0,1598.1999999999998,-178865.09999999998
2018 ,-7578.799999999999,11640.699999999997,-3587.6,-4914.7,14802.7,233301.09999999998,6111.9,-1796.2,-20609.6,-37177.1,49362.399999999994,-2341.2000000000007,-75755.70000000001,-9136.199999999999,3312.2000000000007,48227.3,39279.7,-2671.6000000000004,-6519.8,-2992.9,-3029.8,68773.9,-4583.200000000001,-17589.3,-15404.300000000001,-3937.199999999999,1619.8000000000002,409.5,-158491.3
