Season,Round,GrandPrix,Circuit,DriverNumber,Position,Points,Nationality,Constructor,GridPosition,RaceResults,FullName
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,3.0,1,10.0,German,Ferrari,3,Finished,Michael Schumacher
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,4.0,2,6.0,Brazilian,Ferrari,4,Finished,Rubens Barrichello
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,9.0,3,4.0,German,Williams,11,Finished,Ralf Schumacher
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,22.0,4,3.0,Canadian,BAR,8,Finished,Jacques Villeneuve
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,11.0,5,2.0,Italian,Benetton,9,Finished,Giancarlo Fisichella
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,23.0,6,1.0,Brazilian,BAR,16,Finished,Ricardo Zonta
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,12.0,7,0.0,Austrian,Benetton,14,Finished,Alexander Wurz
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,20.0,8,0.0,Spanish,Minardi,18,+1 Lap,Marc Gené
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,15.0,9,0.0,German,Prost,15,+2 Laps,Nick Heidfeld
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,17.0,10,0.0,Finnish,Sauber,10,Disqualified,Mika Salo
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,10.0,11,0.0,British,Williams,21,Engine,Jenson Button
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,16.0,12,0.0,Brazilian,Sauber,19,Transmission,Pedro Diniz
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,21.0,13,0.0,Argentine,Minardi,22,Gearbox,Gastón Mazzacane
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,5.0,14,0.0,German,Jordan,5,Hydraulics,Heinz-Harald Frentzen
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,6.0,15,0.0,Italian,Jordan,6,Engine,Jarno Trulli
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,14.0,16,0.0,French,Prost,17,Hydraulics,Jean Alesi
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,1.0,17,0.0,Finnish,McLaren,1,Engine,Mika Häkkinen
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,19.0,18,0.0,Dutch,Arrows,13,Suspension,Jos Verstappen
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,2.0,19,0.0,British,McLaren,2,Engine,David Coulthard
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,18.0,20,0.0,Spanish,Arrows,12,Suspension,Pedro de la Rosa
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,7.0,21,0.0,British,Jaguar,7,Spun off,Eddie Irvine
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,8.0,22,0.0,British,Jaguar,20,Clutch,Johnny Herbert
2000,2,Brazilian Grand Prix,Autódromo José Carlos Pace,3.0,1,10.0,German,Ferrari,3,Finished,Michael Schumacher
2000,2,Brazilian Grand Prix,Autódromo José Carlos Pace,11.0,2,6.0,Italian,Benetton,5,Finished,Giancarlo Fisichella
2000,2,Brazilian Grand Prix,Autódromo José Carlos Pace,5.0,3,4.0,German,Jordan,7,Finished,Heinz-Harald Frentzen
2000,2,Brazilian Grand Prix,Autódromo José Carlos Pace,6.0,4,3.0,Italian,Jordan,12,Finished,Jarno Trulli
2000,2,Brazilian Grand Prix,Autódromo José Carlos Pace,9.0,5,2.0,German,Williams,11,+1 Lap,Ralf Schumacher
2000,2,Brazilian Grand Prix,Autódromo José Carlos Pace,10.0,6,1.0,British,Williams,9,+1 Lap,Jenson Button
2000,2,Brazilian Grand Prix,Autódromo José Carlos Pace,19.0,7,0.0,Dutch,Arrows,14,+1 Lap,Jos Verstappen
2000,2,Brazilian Grand Prix,Autódromo José Carlos Pace,18.0,8,0.0,Spanish,Arrows,16,+1 Lap,Pedro de la Rosa
2000,2,Brazilian Grand Prix,Autódromo José Carlos Pace,23.0,9,0.0,Brazilian,BAR,8,+2 Laps,Ricardo Zonta
2000,2,Brazilian Grand Prix,Autódromo José Carlos Pace,21.0,10,0.0,Argentine,Minardi,20,+2 Laps,Gastón Mazzacane
2000,2,Brazilian Grand Prix,Autódromo José Carlos Pace,2.0,11,0.0,British,McLaren,2,Disqualified,David Coulthard
2000,2,Brazilian Grand Prix,Autódromo José Carlos Pace,8.0,12,0.0,British,Jaguar,17,Gearbox,Johnny Herbert
