,tweet_id,name,screen_name,retweet_count,text,created_at,favourite_count,hashtags,status_count,location,source_device,retweet_text,quote_text,quote_screen_name
0,1109073184614244352,Global Alert,globalalert,40,"RT @Water: It’s World Water Day and today you can do something that will change lives, every day.  Give the power of water to people living…",2019-03-22 12:43:47,0,[],23816,,Twitter Web Client,"It’s World Water Day and today you can do something that will change lives, every day.  Give the power of water to people living without it. Donate to https://t.co/IIPwmuFFgz today. https://t.co/g73XCbR6xS Happy #WorldWaterDay! https://t.co/zImFwUI1WS",None,None
1,1109073156319391744,Global Alert,globalalert,57,RT @Water: It’s World Water Day! It’s a day when we turn our attention to the 844 million people who lack access to safe water. Help us giv…,2019-03-22 12:43:40,0,[],23816,,Twitter Web Client,It’s World Water Day! It’s a day when we turn our attention to the 844 million people who lack access to safe water. Help us give the power of water to people living without it. Visit https://t.co/g73XCbR6xS https://t.co/OgK9A1saBq,None,None
2,1109073132139278336,Global Alert,globalalert,9,"RT @Water: Celebrate Option #3 this #WorldWaterDay. Your donation helps give people access to small, affordable loans. When given an opport…",2019-03-22 12:43:34,0,"[{'text': 'WorldWaterDay', 'indices': [36, 50]}]",23816,,Twitter Web Client,"Celebrate Option #3 this #WorldWaterDay. Your donation helps give people access to small, affordable loans. When given an opportunity, families opt to finance long-term solutions versus struggle day-to-day to find the next liter of water. More on this at https://t.co/g73XCbR6xS https://t.co/X0a7WXtlwq",None,None
3,1109073083728572423,Global Alert,globalalert,10,RT @NatGeoMag: How would you tell the story of a place? Share your photos of the world around you—and how it inspires you. https://t.co/v83…,2019-03-22 12:43:23,0,[],23816,,Twitter Web Client,How would you tell the story of a place? Share your photos of the world around you—and how it inspires you. https://t.co/v83zwewscF,None,None
4,1109073030200860675,Global Alert,globalalert,91,"RT @citacao: de Sun Tzu: Quando capaz, finja ser incapaz; quando pronto, finja estar despreparado; quando próximo, finja estar longe; quand…",2019-03-22 12:43:10,0,[],23816,,Twitter Web Client,"de Sun Tzu: Quando capaz, finja ser incapaz; quando pronto, finja estar despreparado; quando próximo, finja estar longe; quando longe, façam acreditar que está próximo.",None,None
5,1109072433200459776,Global Alert,globalalert,46,"RT @UNEnvironment: Are you a young person working on an innovative project to ensure #Water4All?
 
If so, you may be one of the next #Young…",2019-03-22 12:40:48,0,"[{'text': 'Water4All', 'indices': [85, 95]}]",23816,,Twitter Web Client,"Are you a young person working on an innovative project to ensure #Water4All?
 
If so, you may be one of the next #YoungChamps! The application deadline is approaching, start yours here: https://t.co/b9EOGuuc0u 
#WorldWaterDay https://t.co/QF2F2ZLvbZ",None,None
6,1109072357392596992,Global Alert,globalalert,84,"RT @oceana: Today is #InternationalDayofTheSeal. Hawaiian monk seals need marine national monuments. 

Tell President Trump not to weaken p…",2019-03-22 12:40:30,0,"[{'text': 'InternationalDayofTheSeal', 'indices': [21, 47]}]",23816,,Twitter Web Client,"Today is #InternationalDayofTheSeal. Hawaiian monk seals need marine national monuments. 

Tell President Trump not to weaken protections of Marine National Monuments, before it's too late: https://t.co/PFuzWy2VEp #MonumentsForAll https://t.co/nCLlseOi0t",None,None
7,1109072231538274304,Global Alert,globalalert,619,"RT @WWF: #WorldWildlifeDay celebrates life below water. Scientists have identified over 200,000 species in the oceans, but there may well b…",2019-03-22 12:40:00,0,"[{'text': 'WorldWildlifeDay', 'indices': [9, 26]}]",23816,,Twitter Web Client,"#WorldWildlifeDay celebrates life below water. Scientists have identified over 200,000 species in the oceans, but there may well be millions of marine species! 

Our oceans support an incredible variety of wildlife - #Connect2earth and help us protect them 🦑🦐🐡🐟🦈",None,None
8,1109072170808946690,Global Alert,globalalert,1,"RT @_AndreaAngulo_: ✨.•*💗 Happy #FollowFriday to all! Sharing with you wonderful people, great causes and more to #follow. #MakingTheWorldA…",2019-03-22 12:39:45,0,"[{'text': 'FollowFriday', 'indices': [32, 45]}, {'text': 'follow', 'indices': [114, 121]}]",23816,,Twitter Web Client,"✨.•*💗 Happy #FollowFriday to all! Sharing with you wonderful people, great causes and more to #follow. #MakingTheWorldABetterPlace #FF ☮💖",None,None
9,1109072101024165890,Global Alert,globalalert,167,"RT @Dolphin_Project: Iconic words from #DolphinProject ambassador @Harry_Styles 🐬 Join the pod, take the pledge: https://t.co/mL0CwnnV1B
#D…",2019-03-22 12:39:29,0,"[{'text': 'DolphinProject', 'indices': [39, 54]}]",23816,,Twitter Web Client,"Iconic words from #DolphinProject ambassador @Harry_Styles 🐬 Join the pod, take the pledge: https://t.co/mL0CwnnV1B
#DontBuyATicket #DontGoToSeaWorld https://t.co/qmcJMcNaaH",None,None
