,tweet_id,name,screen_name,retweet_count,text,created_at,favourite_count,hashtags,status_count,location,source_device,retweet_text,quote_text,quote_screen_name
0,1236792112823316487,Plastic Paradise,plasticpdise,3,RT @julayneelle: @_C_Anderson @latimes @GovTimWalz I recommend watching @plasticpdise it changed my life,2020-03-08 23:13:12,0,[],1772,,Hootsuite Inc.,@_C_Anderson @latimes @GovTimWalz I recommend watching @plasticpdise it changed my life,None,None
1,1236792082745954308,Plastic Paradise,plasticpdise,3,RT @mwoodpen: Want to save the planet? Watch @plasticpdise @NatGeo #plasticfree https://t.co/t7QVvu3pEd,2020-03-08 23:13:05,0,"[{'text': 'plasticfree', 'indices': [67, 79]}]",1772,,Hootsuite Inc.,Want to save the planet? Watch @plasticpdise @NatGeo #plasticfree https://t.co/t7QVvu3pEd,None,None
2,1175214355001929728,Plastic Paradise,plasticpdise,3,They are our future!! 🙌🏼👏🏼 some of the many creative posters from @buzzfeedworld #ClimateStrike #fridaysforfuture https://t.co/tM1KrYpoNn,2019-09-21 01:05:11,4,"[{'text': 'ClimateStrike', 'indices': [81, 95]}, {'text': 'fridaysforfuture', 'indices': [96, 113]}]",1772,,Twitter for iPhone,None,None,None
3,1175213842701307904,Plastic Paradise,plasticpdise,11,"RT @sunnyangela: It’s been a lifelong dream to be on @NatGeo ! 🙏🏼Super excited to premiere my film @plasticpdise @natgeonordic this
Sat Sep…",2019-09-21 01:03:09,0,"[{'text': 'natgeonordic', 'indices': [113, 126]}]",1772,,Twitter for iPhone,"It’s been a lifelong dream to be on @NatGeo ! 🙏🏼Super excited to premiere my film @plasticpdise @natgeonordic this
Sat September 21st at 7pm(19.00) local time in Denmark, Sweden, Norway and Finland!! #natgeonordic 🇩🇰🇫🇮🇳🇴🇸🇪 #planetorplastic #CoastalCleanupDay https://t.co/w2v7qwdixO",None,None
4,1166430820283715584,Plastic Paradise,plasticpdise,6,"RT @lonelywhale: What’s your story with single-use plastics? Let us know! 🗣️

We've teamed up with @oceanfilmfest, @chasingcoral, @plasticp…",2019-08-27 19:22:33,0,[],1772,,Twitter for iPhone,"What’s your story with single-use plastics? Let us know! 🗣️

We've teamed up with @oceanfilmfest, @chasingcoral, @plasticpdise, @OP_Society, @sea_legacy, @bluespherefdn, and @PangeaSeed to encourage you to reshape the narrative and #HydrateLike a Storyteller!

📸 J Kowitz https://t.co/Azj5448U6j",None,None
5,1166078148171059200,Plastic Paradise,plasticpdise,2,"Stories allow us to convey compelling messages and raise awareness about urgent issues, like the fact that the world use 500 billion single-use plastic bottles every year. Let’s rewrite the story on plastic. Join the movement to #HydrateLike A Storyteller https://t.co/mYvlIznu3O",2019-08-26 20:01:09,5,"[{'text': 'HydrateLike', 'indices': [229, 241]}]",1772,,Twitter for iPhone,None,None,None
6,1164436979758428160,Plastic Paradise,plasticpdise,0,Read This thread https://t.co/bBSIV7rnfI,2019-08-22 07:19:44,0,[],1772,,Twitter for iPhone,None,None,None
7,1155481849998774273,Plastic Paradise,plasticpdise,0,"🌊🌊Happy #WorldNatureConservationDay, an opportunity for citizens across the globe to recognize that conserving our planet is the key for generations present + future. How will you celebrate? 🌎#actnow",2019-07-28 14:15:15,1,"[{'text': 'WorldNatureConservationDay', 'indices': [8, 35]}, {'text': 'actnow', 'indices': [192, 199]}]",1772,,Hootsuite Inc.,None,None,None
8,1153685045430956032,Plastic Paradise,plasticpdise,0,Have you heard of the wet recycling program? There might be 2-4 oceans’ worth of water sloshing through the Earth’s mantle! 🌎#oceanfacts #oneocean #protectouroceans @LiveScience https://t.co/3jZWTB9gnG,2019-07-23 15:15:23,1,"[{'text': 'oceanfacts', 'indices': [125, 136]}, {'text': 'oneocean', 'indices': [137, 146]}, {'text': 'protectouroceans', 'indices': [147, 164]}]",1772,,Hootsuite Inc.,None,None,None
9,1151495628150775809,Plastic Paradise,plasticpdise,0,"From #MachuPicchu to #ManuNationalPark and an eclectic variety of  74 national museums and cultural sites in between, Peru is officially banning #singleuseplastic from these protected areas! *Cue celebration music!* 🎉🎀🎊 #zerowaste  https://t.co/Y9zNMaLI4w",2019-07-17 14:15:26,1,"[{'text': 'MachuPicchu', 'indices': [5, 17]}, {'text': 'ManuNationalPark', 'indices': [21, 38]}, {'text': 'singleuseplastic', 'indices': [145, 162]}, {'text': 'zerowaste', 'indices': [220, 230]}]",1772,,Hootsuite Inc.,None,None,None
