,tweet_id,name,screen_name,retweet_count,text,created_at,favourite_count,hashtags,status_count,location,source_device,retweet_text,quote_text,quote_screen_name
0,1280440408850530305,Plastic Soup Foundation,plasticsoupfoun,2,"RT @jointheSHiFT_: Tune in to our Live Session today on @emilypenn's Instagram channel! We’ll be catching up with Madhuri Prabhakar, Projec…",2020-07-07 09:55:57,0,[],8789,,Twitter Web App,"Tune in to our Live Session today on @emilypenn's Instagram channel! We’ll be catching up with Madhuri Prabhakar, Project Leader at Beat the Microbead (@plasticsoupfoun), on how microplastics can end up in travelling from our cosmetics into the sea. https://t.co/UrG4w0zITc",None,None
1,1280426362004783104,Plastic Soup Foundation,plasticsoupfoun,4,"Onlangs werden we benaderd door Suzanne, die een opmerkelijke vorm van plasticvervuiling is tegengekomen: bestratingsplastic in de tuin van haar zus.

De vervuiling betreft plastic korrels die tussen tuintegels zitten. 
https://t.co/LSdu6iAcjG https://t.co/FcGy9jQu6d",2020-07-07 09:00:08,1,[],8789,,Buffer,None,None,None
2,1280169659287900160,Plastic Soup Foundation,plasticsoupfoun,1,"The danger of hormone-mimicking chemicals in medical devices and meds😓
In an effort to bolster our health, we may be exposed to compounds that harm us. New research says physicians need to recognize and explain this hidden risk to patients. 

Read more: https://t.co/l2kkSyr3FN https://t.co/0OCnvoinEd",2020-07-06 16:00:05,1,[],8789,,Buffer,None,None,None
3,1280092760960389120,Plastic Soup Foundation,plasticsoupfoun,20,"RT @RethinkPlastic: To tackle #microplastics we need the @EU_Commission to propose:

➡️ ambitious restrictions on intentionally added micro…",2020-07-06 10:54:31,0,"[{'text': 'microplastics', 'indices': [30, 44]}]",8789,,Twitter Web App,"To tackle #microplastics we need the @EU_Commission to propose:

➡️ ambitious restrictions on intentionally added microplastics in products
➡️ legislation to address #pellet loss
➡️ regulatory measures to reduce other sources of microplastic #pollution

#PlasticFreeJuly https://t.co/KPI9AxZKZM",None,None
4,1280086439871557632,Plastic Soup Foundation,plasticsoupfoun,44,"RT @ErikSolheim: There is a huge source of Ocean microplastics we dont even know of.

Paint.

Time we  beat plastic pollution!

 https://t.…",2020-07-06 10:29:24,0,[],8789,,Twitter Web App,"There is a huge source of Ocean microplastics we dont even know of.

Paint.

Time we  beat plastic pollution!

 https://t.co/qVCeGlL6Rz",None,None
5,1280063953826168832,Plastic Soup Foundation,plasticsoupfoun,8,Deze week zijn de resultaten van de #GreatGlobalNurdleHunt gepubliceerd door @FidraTweets. De resultaten van 225 #nurdlehunts in 28 landen laten opnieuw zien dat de vervuiling met #plastickorrels of #nurdles een wereldwijd probleem is. Lees het rapport! 👉 https://t.co/D57hrTub9N https://t.co/uQzbgQRGs3,2020-07-06 09:00:03,5,"[{'text': 'GreatGlobalNurdleHunt', 'indices': [36, 58]}, {'text': 'nurdlehunts', 'indices': [113, 125]}, {'text': 'plastickorrels', 'indices': [180, 195]}, {'text': 'nurdles', 'indices': [199, 207]}]",8789,,Buffer,None,None,None
6,1279807385893310466,Plastic Soup Foundation,plasticsoupfoun,4,"All retail stores across Japan, including convenience stores and supermarkets, will be required to charge shoppers for plastic bags from now on as a measure to protect the environment. Stores are being asked to charge customers at least ¥1 for each bag. https://t.co/ALvPDDGpMH https://t.co/yBsumI5xdi",2020-07-05 16:00:33,5,[],8789,,Buffer,None,None,None
7,1279701604573339648,Plastic Soup Foundation,plasticsoupfoun,6,ASN keurt alleen beleggingen en financieringen goed die aan het duurzaamheidsbeleid van de bank voldoen. Met investering in Unilever loopt men risico dat het huidige plasticbeleid van de multinational wordt gelegitimeerd en gekwalificeerd als duurzaam. https://t.co/mlUYYSp53j https://t.co/YeTQlQrdly,2020-07-05 09:00:12,11,[],8789,,Buffer,None,None,None
8,1279448461457403905,Plastic Soup Foundation,plasticsoupfoun,206,RT @jackjohnson: Join Jack and millions around the world in choosing to refuse single-use plastic this @PlasticFreeJuly. Take the #PlasticF…,2020-07-04 16:14:18,0,[],8789,,Twitter for iPhone,Join Jack and millions around the world in choosing to refuse single-use plastic this @PlasticFreeJuly. Take the #PlasticFreeJuly Challenge and learn more at https://t.co/fngYtzzyA2  #AAOPlasticFree https://t.co/m7AOMpv8Iw,None,None
9,1279445134489329665,Plastic Soup Foundation,plasticsoupfoun,3,"Fire-fighters are subjected to carcinogens from burning materials, as well as toxic PFAS from flame-suppressing foams
A new study finds that firefighters can also be exposed to #PFAS over time through another source: their protective clothing 😣
Read more: https://t.co/0mgDWAOauv https://t.co/nuxTWowsiP",2020-07-04 16:01:05,1,"[{'text': 'PFAS', 'indices': [177, 182]}]",8789,,Buffer,None,None,None
