Name,twitter_name,2020Q3,2020Q2,2020Q1,2019Q4,2019Q3,2019Q2,2019Q1,2018Q4,2018Q3,2018Q2,2018Q1,2017Q4,2017Q3,2017Q2,2017Q1,2016Q4,2016Q3,2016Q2,2016Q1,2015Q4,2015Q3,2015Q2,2015Q1,2014Q4,2014Q3,2014Q2,2014Q1,2013Q4,2013Q3,2013Q2,2013Q1,2012Q4,2012Q3,2012Q2,2012Q1,2011Q4,2011Q3,2011Q2,2011Q1,2010Q4,2010Q3,2010Q2,2010Q1,2009Q4
Oceana,oceana,"381,800","371,000","365,833","358,000","341,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocean Conservancy,OurOcean,"342,700","340,000","336,550","334,000","328,000","320,000","314,000","313,000","313,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4ocean,4ocean,"243,700","249,000","252,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plastic Bank,PlasticBank,"172,400","174,000","175,200","176,000","177,000","173,000","173,000","174,000","174,000","181,000","182,000","183,000","183,000","183,000","183,000","188,000","188,000","186,000","186,000","186,000","159,000","159,000","159,000","68,000","38,900","23,900","23,900","23,900","23,900",,,,,,,,,,,,,,,
The Ocean Cleanup,TheOceanCleanup,"146,600","146,000","136,110","116,000","105,000","97,000","94,000","43,347","43,347","43,347","43,347","31,500","31,500","31,500","31,500","22,100","19,200","18,200","18,200","13,100","13,100","10,700","10,700","8,934","6,630","3,357","3,357","3,357","3,357","3,357","3,357",,,,,,,,,,,,,
Mission Blue,MissionBlue,"124,100","122,000","120,282","119,821","115,000","114,386","111,000","109,000","107,000","107,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylvia A. Earle,SylviaEarle,"133,600","131,000","129,927","128,000","125,000","124,000","120,000","119,000","117,000","109,000","109,000","88,100","82,500","77,500","73,000","72,100","68,600","68,600","58,287","58,287","50,400","46,200","40,200","40,000","29,400","24,300","20,740","18,535","18,535","18,535","18,535","17,249","17,249","17,249","17,249","17,249","17,249","17,249","17,249","17,249",,,,
The Ocean Foundation,oceanfdn,"53,400","53,000","53,000","48,100","48,100","48,100","48,100","44,000","44,000","44,000","44,000","44,000","44,000","44,000","44,000","31,400","31,400","31,400","30,100","27,200",,,,,,,,,,,,,,,,,,,,,,,,
Surfers Against Sewage,sascampaigns,"52,700","51,600","51,600","50,300","47,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plastic Pollutes,PlasticPollutes,"47,200","47,100","44,500","44,500","42,300","42,300","39,200","39,200","39,200","34,800","32,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
