,index,4ocean-above_tfidf,4ocean-below_tfidf,4ocean-ratio_tfidf,5gyres-above_tfidf,5gyres-below_tfidf,5gyres-ratio_tfidf,aplastic_planet-above_tfidf,aplastic_planet-below_tfidf,aplastic_planet-ratio_tfidf,DebrisTracker-above_tfidf,DebrisTracker-below_tfidf,DebrisTracker-ratio_tfidf,globalalert-above_tfidf,globalalert-below_tfidf,globalalert-ratio_tfidf,JackieSavitz-above_tfidf,JackieSavitz-below_tfidf,JackieSavitz-ratio_tfidf,LifeWoutPlastic-above_tfidf,LifeWoutPlastic-below_tfidf,LifeWoutPlastic-ratio_tfidf,merijntinga-above_tfidf,merijntinga-below_tfidf,merijntinga-ratio_tfidf,MissionBlue-above_tfidf,MissionBlue-below_tfidf,MissionBlue-ratio_tfidf,NewPlasticsEcon-above_tfidf,NewPlasticsEcon-below_tfidf,NewPlasticsEcon-ratio_tfidf,oceana-above_tfidf,oceana-below_tfidf,oceana-ratio_tfidf,oceanfdn-above_tfidf,oceanfdn-below_tfidf,oceanfdn-ratio_tfidf,oceanunite-above_tfidf,oceanunite-below_tfidf,oceanunite-ratio_tfidf,Oceanwarrior-above_tfidf,Oceanwarrior-below_tfidf,Oceanwarrior-ratio_tfidf,OurOcean-above_tfidf,OurOcean-below_tfidf,OurOcean-ratio_tfidf,PlasticBank-above_tfidf,PlasticBank-below_tfidf,PlasticBank-ratio_tfidf,PlasticFreeJuly-above_tfidf,PlasticFreeJuly-below_tfidf,PlasticFreeJuly-ratio_tfidf,PlasticOceans-above_tfidf,PlasticOceans-below_tfidf,PlasticOceans-ratio_tfidf,PlasticOceansUS-above_tfidf,PlasticOceansUS-below_tfidf,PlasticOceansUS-ratio_tfidf,plasticpdise-above_tfidf,plasticpdise-below_tfidf,plasticpdise-ratio_tfidf,PlasticPollutes-above_tfidf,PlasticPollutes-below_tfidf,PlasticPollutes-ratio_tfidf,PlasticsBeyond-above_tfidf,PlasticsBeyond-below_tfidf,PlasticsBeyond-ratio_tfidf,plasticsoupfoun-above_tfidf,plasticsoupfoun-below_tfidf,plasticsoupfoun-ratio_tfidf,RethinkPlastic-above_tfidf,RethinkPlastic-below_tfidf,RethinkPlastic-ratio_tfidf,sascampaigns-above_tfidf,sascampaigns-below_tfidf,sascampaigns-ratio_tfidf,SylviaEarle-above_tfidf,SylviaEarle-below_tfidf,SylviaEarle-ratio_tfidf,TBPInnovate-above_tfidf,TBPInnovate-below_tfidf,TBPInnovate-ratio_tfidf,TheOceanCleanup-above_tfidf,TheOceanCleanup-below_tfidf,TheOceanCleanup-ratio_tfidf,ThePlasticWhale-above_tfidf,ThePlasticWhale-below_tfidf,ThePlasticWhale-ratio_tfidf,ALL-above_tfidf,ALL-below_tfidf,ALL-ratio_tfidf
0,0,0.0,0.0,0.0,8.08271113423758,0.0,10.0,0.0,8.07558263667172,0.0,0.0,0.0,0.0,111.48863009217544,9.694663486276125,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3796321526095525,7.3796321526095525,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.757391938098426,0.0,10.0,0.0,0.0,0.0,13.965106978114648,6.982553489057324,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.081784206935001,0.0,226.1959022753892,46.79915219490811,4.833333333333333
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.93091104401083,0.0,0.0,8.068402958569699,0.0,381.67582322294186,16.310932616365037,23.4,11.553446198115832,46.21378479246333,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.756142718819836,0.0,0.0,0.0,0.0,0.0,14.766736293984767,0.0,0.0,14.774799570529106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.560979855872521,0.0,10.0,0.0,8.071843149609158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.617267813628347,0.0,0.0,14.75864037758965,0.0,0.0,14.580585764893193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,767.6931474518856,183.99257252979075,4.172413793103448
2,2,0.0,0.0,0.0,0.0,14.77912790735527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.9896070442665,30.468448509113692,4.857142857142858,6.4698702796178615,25.879481118471446,0.25,0.0,20.685023118478902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.072779333169498,0.0,10.0,0.0,8.082093278178382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.757391938098426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.617267813628347,0.0,0.0,8.07246736935477,0.0,0.0,7.983440063006542,0.0,7.751045117971802,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,269.27376471919666,160.10872496817097,1.6818181818181819
3,3,0.0,8.079927770758275,0.0,0.0,32.3663661090174,0.0,0.0,8.07558263667172,0.0,13.364217194899618,13.364217194899618,1.0,365.8030467330065,23.068660604784192,15.85714285714286,23.528334458862968,29.41041807357871,0.7999999999999999,0.0,7.993619994827744,0.0,0.0,7.736743682453495,0.0,0.0,20.91781875390526,0.0,0.0,13.883346994371195,0.0,0.0,32.33538707559114,0.0,0.0,42.94245771738429,0.0,10.741276056255325,69.81829436565961,0.15384615384615385,8.072779333169498,0.0,10.0,0.0,0.0,0.0,0.0,8.076826031298808,0.0,0.0,0.0,0.0,0.0,57.73930234558283,0.0,6.283823167443665,31.419115837218325,0.2,0.0,13.560979855872521,0.0,0.0,0.0,0.0,12.936018473794197,19.404027710691295,0.6666666666666667,0.0,26.77948566642217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.44099269228988,0.0,0.0,0.0,0.0,6.841615476477592,6.841615476477592,1.0,0.0,8.081784206935001,0.0,742.0865228316246,544.5957546586923,1.3626373626373627
4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.3943101004009,5.581300918218264,11.0,0.0,8.079308192051961,0.0,0.0,7.993619994827744,0.0,0.0,0.0,0.0,0.0,8.071218539969863,0.0,0.0,0.0,0.0,0.0,8.076515327552329,0.0,0.0,8.080546965824498,0.0,0.0,0.0,0.0,0.0,8.072779333169498,0.0,0.0,8.082093278178382,0.0,13.381063340357835,13.381063340357835,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7804899279362605,6.7804899279362605,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.9086331008159,89.4996402934982,1.272727272727273
5,5,0.0,8.079927770758275,0.0,8.08271113423758,0.0,10.0,0.0,20.93091104401083,0.0,0.0,8.068402958569699,0.0,155.2152426126398,46.145072128082106,3.3636363636363633,0.0,26.772055323728285,0.0,0.0,7.993619994827744,0.0,0.0,19.91439418135616,0.0,0.0,20.91781875390526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.771082097339855,0.0,0.0,0.0,0.0,0.0,8.082093278178382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.560979855872521,0.0,10.0,0.0,8.071843149609158,0.0,13.957669721326178,6.978834860663089,2.0,0.0,14.776037194330975,0.0,7.617267813628347,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.4902575678445,238.38764551876076,1.2647058823529411
6,6,0.0,0.0,0.0,0.0,8.08271113423758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.34535732508552,17.29086742503665,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.071218539969863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.078688229229872,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.02631209301296,20.68420806200864,1.5,0.0,8.071843149609158,0.0,0.0,14.768599937542508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.983440063006542,0.0,19.09425227055573,6.364750756851911,3.0,0.0,0.0,0.0,0.0,0.0,0.0,134.6607324546455,110.89707378617865,1.2142857142857144
7,7,0.0,0.0,0.0,11.770973113802722,41.198405898309524,0.28571428571428575,5.031060198948297,100.62120397896594,0.05,27.517268005540814,44.0276288088653,0.625,386.540867702753,38.02041321666423,10.166666666666666,12.939740559235723,19.409610838853585,0.6666666666666666,11.828356906295816,35.48507071888745,0.3333333333333333,12.70089864266721,12.70089864266721,1.0,0.0,0.0,0.0,13.072416778154867,6.536208389077434,2.0,0.0,8.076515327552329,0.0,0.0,8.080546965824498,0.0,10.165911911351763,91.49320720216588,0.1111111111111111,18.380607552342557,24.50747673645674,0.75,0.0,0.0,0.0,0.0,20.934641227892094,0.0,17.587695800430062,29.312826334050108,0.5999999999999999,10.372287139312327,82.97829711449862,0.125,14.764870912223548,0.0,10.0,0.0,13.560979855872521,0.0,4.180022851498531,200.6410968719295,0.020833333333333332,34.077311259196975,28.39775938266414,1.2000000000000002,5.596259127937433,61.558850407311766,0.0909090909090909,47.95088403167551,65.38756913410296,0.7333333333333334,0.0,8.07246736935477,0.0,0.0,56.80854970012496,0.0,40.635944782415415,0.0,10.0,7.534762657037537,0.0,10.0,6.695489845815111,20.086469537445332,0.3333333333333333,963.8763204098193,1093.8371725999073,0.8811881188118812
8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3752557780097545,7.3752557780097545,1.0,14.746120774892637,0.0,10.0,0.0,8.079308192051961,0.0,0.0,14.600945628535598,0.0,0.0,0.0,0.0,0.0,8.071218539969863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.956427485261397,6.9782137426306985,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.07558263667172,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0774471493312,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.115795874823712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.53009591676988,69.17725247630844,0.875
9,9,0.0,0.0,0.0,0.0,0.0,0.0,6.689288275551829,20.067864826655487,0.3333333333333333,0.0,0.0,0.0,58.9397310359446,21.432629467616216,2.75,7.386161011492017,7.386161011492017,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.071218539969863,0.0,0.0,0.0,0.0,0.0,8.076515327552329,0.0,0.0,8.080546965824498,0.0,0.0,32.34625158397886,0.0,0.0,20.922501133504166,0.0,0.0,0.0,0.0,14.767357701477726,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.081165777725433,0.0,7.617267813628347,0.0,10.0,0.0,0.0,0.0,0.0,7.983440063006542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.90862156794465,162.63006580792737,0.7619047619047619
